Name,Alignment,Intelligence,Strength,Speed,Durability,Power,Combat,Total
Bushido,good,38.0,10.0,8.0,10.0,19.0,70.0,155.0
Cable,good,88.0,48.0,23.0,56.0,100.0,80.0,395.0
Callisto,bad,63.0,53.0,23.0,42.0,45.0,85.0,311.0
Cameron Hicks,good,50.0,10.0,23.0,28.0,51.0,70.0,232.0
Cannonball,good,50.0,28.0,67.0,99.0,79.0,56.0,379.0
Captain America,good,63.0,19.0,35.0,56.0,46.0,100.0,319.0
Captain Atom,good,,,,,,,
Captain Britain,good,75.0,77.0,50.0,60.0,31.0,80.0,373.0
Captain Epic,good,,,,,,,
Captain Mar-vell,good,,,,,,,
Captain Marvel,good,100.0,100.0,67.0,95.0,62.0,56.0,480.0
Captain Marvel II,good,75.0,81.0,27.0,90.0,34.0,56.0,363.0
Captain Planet,good,,,,,,,
Captain Universe,good,,,,,,,
Carnage,bad,63.0,63.0,70.0,84.0,81.0,90.0,451.0
Cat,good,,,,,,,
Cat II,good,,,,,,,
Catwoman,good,63.0,13.0,33.0,28.0,24.0,85.0,246.0
Cecilia Reyes,good,,,,,,,
Century,good,88.0,80.0,53.0,64.0,74.0,100.0,459.0
Cerebra,good,,,,,,,
Chamber,good,50.0,10.0,20.0,80.0,57.0,64.0,281.0
Chameleon,bad,88.0,10.0,12.0,28.0,28.0,28.0,194.0
Changeling,bad,63.0,10.0,23.0,42.0,64.0,64.0,266.0
Cheetah I,bad,,,,,,,
Cheetah II,bad,,,,,,,
Cheetah III,bad,,,,,,,
Chromos,bad,,,,,,,
Chuck Norris,good,50.0,80.0,47.0,56.0,42.0,99.0,374.0
Claire Bennet,good,38.0,9.0,12.0,100.0,73.0,28.0,260.0
Clea,good,,,,,,,
Cloak,good,63.0,10.0,47.0,64.0,74.0,56.0,314.0
Cogliostro,bad,,,,,,,
Colin Wagner,good,,,,,,,
Colossal Boy,good,,,,,,,
Colossus,good,63.0,83.0,33.0,100.0,46.0,80.0,405.0
Corsair,good,,,,,,,
Crimson Crusader,good,,,,,,,
Crimson Dynamo I,good,,,,,,,
Crystal,good,63.0,16.0,12.0,14.0,57.0,56.0,218.0
Curse,bad,,,,,,,
Cy-Gor,bad,,,,,,,
Cyborg,good,75.0,53.0,42.0,85.0,72.0,64.0,391.0
Cyborg Superman,bad,75.0,93.0,92.0,100.0,100.0,80.0,540.0
Cyclops,good,75.0,10.0,23.0,42.0,76.0,80.0,306.0
Cypher,good,,,,,,,
Dagger,good,63.0,10.0,35.0,42.0,52.0,70.0,272.0
Danny Cooper,good,,,,,,,
Daphne Powell,good,38.0,10.0,8.0,10.0,56.0,10.0,132.0
Daredevil,good,75.0,13.0,27.0,28.0,57.0,95.0,295.0
Darkhawk,good,50.0,32.0,33.0,70.0,74.0,64.0,323.0
Darkman,good,75.0,14.0,23.0,85.0,12.0,28.0,237.0
Darkseid,bad,88.0,100.0,23.0,100.0,100.0,95.0,506.0
Darkside,bad,,,,,,,
Darkstar,good,38.0,8.0,35.0,42.0,52.0,64.0,239.0
Dash,good,9.0,4.0,83.0,42.0,12.0,28.0,178.0
Dazzler,good,63.0,10.0,35.0,42.0,64.0,56.0,270.0
Deadman,good,50.0,10.0,33.0,100.0,100.0,42.0,335.0
Deadpool,neutral,50.0,15.0,30.0,100.0,100.0,100.0,395.0
Deadshot,bad,50.0,10.0,23.0,28.0,47.0,80.0,238.0
Deathlok,good,69.0,32.0,30.0,70.0,40.0,60.0,301.0
Deathstroke,neutral,75.0,30.0,35.0,100.0,36.0,90.0,366.0
Demogoblin,bad,50.0,48.0,42.0,35.0,54.0,60.0,289.0
Destroyer,bad,50.0,95.0,58.0,98.0,90.0,70.0,461.0
DL Hawkins,good,50.0,12.0,12.0,56.0,48.0,56.0,234.0
Doc Samson,good,75.0,80.0,33.0,80.0,36.0,70.0,374.0
Doctor Doom,bad,100.0,32.0,20.0,100.0,93.0,84.0,429.0
Doctor Doom II,bad,,32.0,,,,,
Doctor Fate,good,81.0,16.0,25.0,80.0,100.0,50.0,352.0
Doctor Octopus,bad,,,,,,,
Doctor Strange,good,100.0,10.0,12.0,84.0,100.0,60.0,366.0
Domino,good,63.0,10.0,27.0,28.0,49.0,74.0,251.0
Donna Troy,good,,,,,,,
Doomsday,bad,88.0,80.0,67.0,120.0,100.0,90.0,545.0
Doppelganger,bad,8.0,63.0,60.0,95.0,62.0,84.0,372.0
Dormammu,bad,88.0,95.0,83.0,100.0,100.0,80.0,546.0
Dr Manhattan,good,88.0,32.0,42.0,95.0,100.0,42.0,399.0
Ego,bad,88.0,80.0,83.0,99.0,71.0,28.0,449.0
Elastigirl,good,38.0,32.0,12.0,90.0,20.0,14.0,206.0
Electro,bad,69.0,10.0,50.0,56.0,67.0,64.0,316.0
Elektra,good,63.0,11.0,30.0,28.0,59.0,100.0,291.0
Elle Bishop,bad,50.0,8.0,12.0,42.0,63.0,42.0,217.0
Elongated Man,good,38.0,10.0,27.0,90.0,41.0,42.0,248.0
Emma Frost,good,75.0,63.0,35.0,90.0,82.0,42.0,387.0
Energy,good,,,,,,,
ERG-1,good,,,,,,,
Evilhawk,bad,50.0,32.0,33.0,70.0,78.0,64.0,327.0
Exodus,bad,63.0,81.0,28.0,28.0,100.0,70.0,370.0
Fabian Cortez,bad,,,,,,,
Falcon,good,38.0,13.0,50.0,28.0,22.0,64.0,215.0
Fallen One II,bad,88.0,85.0,83.0,100.0,100.0,56.0,512.0
Faora,bad,88.0,95.0,75.0,100.0,87.0,90.0,535.0
Feral,good,38.0,28.0,45.0,28.0,20.0,70.0,229.0
Fighting Spirit,good,,,,,,,
Fin Fang Foom,good,50.0,81.0,23.0,100.0,68.0,70.0,392.0
Firebird,good,38.0,8.0,40.0,14.0,90.0,42.0,232.0
Firelord,good,38.0,63.0,75.0,90.0,48.0,28.0,342.0
Firestar,good,50.0,8.0,54.0,55.0,71.0,32.0,270.0
Firestorm,good,50.0,53.0,58.0,56.0,100.0,42.0,359.0
Fixer,bad,,,,,,,
Flash Gordon,good,,,,,,,
Flash I,good,63.0,10.0,100.0,50.0,57.0,32.0,312.0
Flash II,good,63.0,10.0,100.0,60.0,66.0,32.0,331.0
Flash III,good,63.0,10.0,100.0,60.0,83.0,32.0,348.0
Flash IV,good,63.0,10.0,100.0,32.0,59.0,48.0,312.0
Forge,good,63.0,10.0,12.0,28.0,12.0,48.0,173.0
Franklin Richards,good,,,,,,,
Franklin Storm,good,38.0,10.0,,,,10.0,
Frenzy,bad,63.0,53.0,35.0,100.0,38.0,52.0,341.0
Frigga,good,,,,,,,
Galactus,neutral,100.0,100.0,83.0,100.0,100.0,70.0,553.0
Gambit,good,63.0,10.0,23.0,28.0,55.0,84.0,263.0
Garbage Man,good,,,,,,,
Gary Bell,good,63.0,5.0,8.0,10.0,54.0,10.0,150.0
General Zod,bad,94.0,100.0,96.0,100.0,94.0,95.0,579.0
Genesis,good,,,,,,,
Ghost Rider,good,50.0,55.0,25.0,100.0,70.0,60.0,360.0
Ghost Rider II,good,,,,,,,
Giant-Man,good,,,,,,,
Giant-Man II,good,,,,,,,
Giganta,bad,81.0,89.0,23.0,85.0,32.0,42.0,352.0
Goblin Queen,bad,75.0,10.0,23.0,28.0,65.0,56.0,257.0
Gog,bad,50.0,34.0,47.0,72.0,39.0,56.0,298.0
Goku,good,56.0,100.0,75.0,90.0,100.0,100.0,521.0
Goliath,good,,,,,,,
Goliath II,good,,,,,,,
Goliath III,bad,,,,,,,
Goliath IV,good,,,,,,,
Granny Goodness,bad,,,,,,,
Gravity,good,50.0,32.0,33.0,40.0,72.0,30.0,257.0
Green Arrow,good,75.0,12.0,35.0,28.0,26.0,90.0,266.0
Green Goblin,bad,75.0,48.0,35.0,48.0,38.0,28.0,272.0
Green Goblin II,bad,75.0,55.0,37.0,50.0,38.0,26.0,281.0
Green Goblin III,good,,,,,,,
Green Goblin IV,good,,,,,,,
Groot,good,75.0,85.0,33.0,70.0,92.0,64.0,419.0
Guardian,good,,,,,,,
Guy Gardner,good,38.0,80.0,27.0,64.0,97.0,64.0,370.0
Hal Jordan,good,63.0,90.0,53.0,64.0,100.0,56.0,426.0
Hancock,good,50.0,85.0,65.0,100.0,70.0,28.0,398.0
Harley Quinn,bad,81.0,12.0,23.0,42.0,30.0,80.0,268.0
Havok,good,63.0,10.0,25.0,60.0,71.0,45.0,274.0
Hawk,good,38.0,38.0,35.0,95.0,36.0,42.0,284.0
Hawkeye,good,50.0,12.0,23.0,14.0,26.0,80.0,205.0
Hawkeye II,good,50.0,6.0,8.0,10.0,24.0,50.0,148.0
Hawkgirl,good,50.0,28.0,53.0,99.0,74.0,72.0,376.0
Hawkman,good,,,,,,,
Hawkwoman I,good,,,,,,,
Hawkwoman II,good,,,,,,,
Hawkwoman III,good,,,,,,,
Hellboy,good,63.0,53.0,23.0,85.0,30.0,75.0,329.0
Hellcat,good,50.0,10.0,23.0,42.0,18.0,70.0,213.0
Hellstorm,good,,,,,,,
Hercules,good,63.0,100.0,46.0,85.0,67.0,100.0,461.0
Hiro Nakamura,good,,,,,,,
Hit-Girl,good,10.0,8.0,23.0,14.0,21.0,56.0,132.0
Hobgoblin,bad,,,,,,,
Hollow,good,,,,,,,
Hope Summers,good,63.0,10.0,12.0,32.0,89.0,75.0,281.0
Howard the Duck,good,,,,,,,
Hulk,good,88.0,100.0,47.0,100.0,41.0,85.0,461.0
Human Torch,good,56.0,10.0,63.0,70.0,74.0,42.0,315.0
Huntress,good,69.0,10.0,23.0,28.0,34.0,95.0,259.0
Husk,good,63.0,63.0,35.0,78.0,53.0,64.0,356.0
Hydro-Man,bad,38.0,13.0,25.0,80.0,66.0,50.0,272.0
Hyperion,good,63.0,95.0,75.0,95.0,58.0,72.0,458.0
Iceman,good,63.0,32.0,53.0,100.0,100.0,64.0,412.0
Impulse,good,50.0,10.0,100.0,60.0,63.0,60.0,343.0
Ink,good,38.0,28.0,17.0,40.0,66.0,50.0,239.0
Invisible Woman,good,69.0,10.0,27.0,70.0,74.0,56.0,306.0
Iron Fist,good,75.0,23.0,35.0,42.0,43.0,100.0,318.0
Iron Man,good,100.0,85.0,58.0,85.0,100.0,64.0,492.0
Iron Monger,bad,88.0,63.0,25.0,90.0,57.0,56.0,379.0
Ironman,good,,,,,,,
Isis,good,75.0,48.0,75.0,46.0,43.0,56.0,343.0
Jack Bauer,good,,,,,,,
Jack of Hearts,good,63.0,55.0,100.0,30.0,70.0,30.0,348.0
Jack-jack,good,6.0,34.0,67.0,80.0,69.0,6.0,262.0
Jean Grey,good,100.0,80.0,67.0,100.0,100.0,70.0,517.0
Jennifer Kale,good,75.0,10.0,35.0,42.0,61.0,72.0,295.0
Jessica Sanders,good,,,,,,,
Jigsaw,bad,,,,,,,
Jim Powell,good,38.0,38.0,23.0,80.0,23.0,20.0,222.0
JJ Powell,good,88.0,10.0,8.0,10.0,14.0,10.0,140.0
Johann Krauss,good,,,,,,,
John Stewart,good,50.0,80.0,27.0,64.0,94.0,54.0,369.0
John Wraith,good,75.0,12.0,35.0,28.0,65.0,80.0,295.0
Joker,bad,100.0,10.0,12.0,56.0,22.0,90.0,290.0
Jolt,good,63.0,12.0,27.0,32.0,31.0,42.0,207.0
Jubilee,good,56.0,8.0,22.0,20.0,66.0,90.0,262.0
Juggernaut,neutral,44.0,100.0,42.0,100.0,74.0,70.0,430.0
Junkpile,bad,50.0,38.0,17.0,90.0,71.0,30.0,296.0
Justice,good,50.0,10.0,33.0,70.0,55.0,30.0,248.0
Kang,bad,100.0,48.0,58.0,70.0,71.0,70.0,417.0
Kevin 11,bad,25.0,7.0,12.0,14.0,100.0,40.0,198.0
Kick-Ass,good,10.0,10.0,23.0,14.0,21.0,56.0,134.0
Kid Flash,good,25.0,4.0,92.0,42.0,13.0,30.0,206.0
Kid Flash II,good,,,,,,,
Killer Croc,bad,25.0,48.0,33.0,85.0,36.0,60.0,287.0
Kilowog,good,81.0,90.0,53.0,42.0,100.0,80.0,446.0
Kingpin,bad,75.0,18.0,25.0,40.0,13.0,70.0,241.0
Klaw,bad,63.0,38.0,33.0,100.0,62.0,60.0,356.0
Kool-Aid Man,good,25.0,10.0,12.0,14.0,10.0,14.0,85.0
Kraven II,bad,50.0,34.0,23.0,28.0,36.0,85.0,256.0
Kraven the Hunter,bad,63.0,32.0,35.0,42.0,26.0,85.0,283.0
Krypto,good,9.0,80.0,100.0,90.0,72.0,40.0,391.0
Lady Bullseye,bad,,,,,,,
Lady Deathstrike,bad,,,,,,,
Leader,bad,100.0,10.0,12.0,14.0,58.0,42.0,236.0
Leech,good,25.0,5.0,12.0,14.0,62.0,14.0,132.0
Lex Luthor,bad,100.0,10.0,12.0,14.0,10.0,28.0,174.0
Light Lass,good,38.0,10.0,35.0,28.0,65.0,42.0,218.0
Lightning Lad,good,38.0,10.0,23.0,28.0,60.0,42.0,201.0
Lightning Lord,bad,44.0,10.0,23.0,42.0,66.0,42.0,227.0
Living Brain,bad,75.0,53.0,35.0,56.0,31.0,28.0,278.0
Liz Sherman,good,,,,,,,
Lizard,bad,38.0,51.0,27.0,70.0,40.0,56.0,282.0
Lobo,bad,88.0,83.0,35.0,100.0,95.0,85.0,486.0
Loki,bad,88.0,57.0,47.0,85.0,85.0,56.0,418.0
Longshot,good,50.0,10.0,27.0,10.0,71.0,70.0,238.0
Luke Cage,good,44.0,55.0,23.0,95.0,35.0,64.0,316.0
Luke Campbell,bad,,,,,,,
Luna,good,38.0,6.0,83.0,14.0,53.0,14.0,208.0
Lyja,good,,,,,,,
Mach-IV,bad,75.0,36.0,60.0,84.0,60.0,56.0,371.0
Machine Man,good,63.0,32.0,35.0,84.0,51.0,64.0,329.0
Magneto,bad,88.0,80.0,27.0,84.0,91.0,80.0,450.0
Magog,good,50.0,48.0,23.0,64.0,66.0,72.0,323.0
Magus,bad,88.0,100.0,70.0,99.0,100.0,74.0,531.0
Man-Bat,neutral,38.0,18.0,50.0,70.0,33.0,30.0,239.0
Man-Thing,good,50.0,32.0,8.0,100.0,98.0,40.0,328.0
Man-Wolf,good,63.0,44.0,35.0,42.0,38.0,70.0,292.0
Mandarin,bad,100.0,28.0,23.0,28.0,99.0,95.0,373.0
Martian Manhunter,good,100.0,100.0,96.0,100.0,100.0,85.0,581.0
Marvel Girl,good,63.0,85.0,47.0,42.0,100.0,80.0,417.0
Master Brood,good,,,,,,,
Master Chief,good,75.0,73.0,35.0,80.0,62.0,100.0,425.0
Match,bad,75.0,95.0,83.0,85.0,90.0,70.0,498.0
Matt Parkman,good,63.0,10.0,12.0,14.0,59.0,56.0,214.0
Maverick,good,63.0,10.0,12.0,42.0,60.0,85.0,272.0
Maxima,bad,75.0,90.0,35.0,56.0,67.0,75.0,398.0
Maya Herrera,good,50.0,10.0,12.0,14.0,60.0,14.0,160.0
Medusa,good,75.0,34.0,35.0,70.0,35.0,56.0,305.0
Meltdown,good,38.0,10.0,12.0,42.0,58.0,64.0,224.0
Mephisto,bad,88.0,85.0,35.0,95.0,100.0,42.0,445.0
Mera,good,56.0,62.0,54.0,70.0,55.0,70.0,367.0
Metallo,bad,75.0,53.0,23.0,95.0,74.0,64.0,384.0
Metamorpho,good,,,,,,,
Meteorite,good,,,,,,,
Metron,good,88.0,10.0,47.0,56.0,69.0,28.0,298.0
Micah Sanders,good,63.0,8.0,12.0,14.0,57.0,14.0,168.0
Micro Lad,good,38.0,28.0,27.0,28.0,44.0,32.0,197.0
Mimic,good,63.0,67.0,47.0,56.0,79.0,42.0,354.0
Minna Murray,good,,,,,,,
Misfit,good,63.0,32.0,23.0,80.0,62.0,42.0,302.0
Miss Martian,good,63.0,85.0,58.0,100.0,100.0,45.0,451.0
Mister Fantastic,good,100.0,10.0,18.0,70.0,32.0,64.0,294.0
Mister Freeze,bad,75.0,32.0,12.0,70.0,37.0,28.0,254.0
Mister Mxyzptlk,bad,113.0,10.0,12.0,14.0,100.0,28.0,277.0
Mister Sinister,bad,,,,,,,
Mogo,good,,,,,,,
Mohinder Suresh,good,,,,,,,
Moloch,bad,,,,,,,
Molten Man,bad,50.0,73.0,23.0,84.0,53.0,56.0,339.0
Monarch,good,,,,,,,
Monica Dawson,good,50.0,10.0,35.0,14.0,48.0,90.0,247.0
Moon Knight,good,50.0,36.0,23.0,42.0,28.0,75.0,254.0
Moonstone,good,56.0,67.0,47.0,52.0,79.0,80.0,381.0
Morlun,bad,63.0,60.0,35.0,42.0,59.0,56.0,315.0
Morph,good,,,,,,,
Moses Magnum,bad,75.0,28.0,12.0,42.0,55.0,56.0,268.0
Mr Incredible,good,38.0,73.0,35.0,95.0,25.0,42.0,308.0
Ms Marvel,good,63.0,80.0,47.0,52.0,70.0,80.0,392.0
Ms Marvel II,good,38.0,63.0,23.0,84.0,11.0,56.0,275.0
Multiple Man,good,63.0,11.0,23.0,70.0,28.0,62.0,257.0
Mysterio I,bad,75.0,10.0,23.0,42.0,50.0,56.0,256.0
Mystique,bad,75.0,12.0,23.0,64.0,58.0,74.0,306.0
Namor,good,,,,,,,
Namora,good,50.0,85.0,42.0,42.0,41.0,64.0,324.0
Namorita,good,50.0,72.0,47.0,70.0,30.0,70.0,339.0
Naruto Uzumaki,good,50.0,80.0,32.0,80.0,100.0,100.0,442.0
Nathan Petrelli,good,,,,,,,
Nick Fury,good,75.0,11.0,23.0,42.0,25.0,100.0,276.0
Nightcrawler,good,50.0,10.0,47.0,14.0,52.0,80.0,253.0
Nightwing,good,88.0,11.0,33.0,28.0,36.0,100.0,296.0
Niki Sanders,good,63.0,52.0,35.0,28.0,37.0,56.0,271.0
Nina Theroux,good,63.0,5.0,8.0,10.0,54.0,20.0,160.0
Nite Owl II,good,,,,,,,
Northstar,good,50.0,18.0,83.0,56.0,70.0,70.0,347.0
Nova,good,100.0,85.0,67.0,101.0,100.0,85.0,538.0
Nova,good,38.0,60.0,100.0,100.0,100.0,25.0,423.0
Offspring,good,50.0,10.0,35.0,99.0,100.0,56.0,350.0
Omega Red,bad,,,,,,,
Omniscient,good,,,,,,,
Onslaught,bad,88.0,85.0,47.0,100.0,100.0,85.0,505.0
Oracle (DC),good,75.0,11.0,23.0,28.0,19.0,76.0,232.0
Osiris,good,75.0,85.0,60.0,95.0,65.0,42.0,422.0
Overtkill,bad,,,,,,,
Penance,good,,,,,,,
Penance I,good,,,,,,,
Penance II,good,,,,,,,
Penguin,bad,75.0,10.0,12.0,28.0,30.0,45.0,200.0
Peter Petrelli,good,63.0,28.0,23.0,28.0,69.0,56.0,267.0
Phantom,good,,,,,,,
Phantom Girl,good,38.0,10.0,23.0,28.0,53.0,42.0,194.0
Phoenix,good,100.0,80.0,67.0,100.0,100.0,70.0,517.0
Plastic Lad,good,,,,,,,
Plastic Man,good,50.0,63.0,23.0,100.0,100.0,56.0,392.0
Plastique,bad,50.0,10.0,23.0,28.0,60.0,42.0,213.0
Poison Ivy,bad,69.0,14.0,23.0,14.0,71.0,36.0,227.0
Power Girl,good,88.0,98.0,67.0,95.0,67.0,75.0,490.0
Power Man,good,,,,,,,
Professor X,good,100.0,8.0,12.0,14.0,90.0,32.0,256.0
Proto-Goblin,bad,63.0,38.0,23.0,48.0,22.0,28.0,222.0
Psylocke,good,,,,,,,
Punisher,good,50.0,16.0,23.0,28.0,22.0,100.0,239.0
Pyro,bad,38.0,10.0,12.0,14.0,50.0,28.0,152.0
Quantum,good,,,,,,,
Question,good,81.0,14.0,27.0,35.0,20.0,80.0,257.0
Quicksilver,good,63.0,28.0,100.0,60.0,57.0,56.0,364.0
Quill,good,38.0,10.0,12.0,14.0,23.0,14.0,111.0
Ra's Al Ghul,bad,100.0,28.0,32.0,42.0,27.0,100.0,329.0
Rachel Pirzad,good,63.0,4.0,8.0,10.0,52.0,10.0,147.0
Raven,neutral,50.0,10.0,29.0,70.0,62.0,40.0,261.0
Razor-Fist II,bad,,,,,,,
Red Arrow,good,63.0,16.0,25.0,20.0,24.0,80.0,228.0
Red Hood,neutral,75.0,12.0,23.0,28.0,24.0,95.0,257.0
Red Hulk,good,50.0,88.0,47.0,95.0,59.0,75.0,414.0
Red Mist,bad,25.0,10.0,23.0,14.0,20.0,56.0,148.0
Red Robin,good,81.0,11.0,27.0,32.0,29.0,80.0,260.0
Red Skull,bad,75.0,10.0,12.0,14.0,19.0,80.0,210.0
Red Tornado,good,75.0,38.0,67.0,60.0,92.0,40.0,372.0
