Index,Name,Identity,Status,Gender,Alignment,Race,Height,Weight,EyeColor,HairColor,SkinColor,Publisher,Year,Appearances,FirstAppearance,AdditionalData
26,Reed Richards,,Living,Male,Bad,,,,,Brown,,Marvel,1992.0,6.0,1992-06-01,Doppelganger
27,Reed Richards,Public,Living,Male,Good,,,,Blue,Brown,,Marvel,2007.0,4.0,2007-02-01,Onslaught Reborn
28,Reed Richards,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008.0,1.0,2008-07-01,Skrull
29,Hulk,Public,Living,Male,Good,Human / radiation,244.0,630.0,Green,Green,Green,Marvel Comics,1962.0,2017.0,1962-05-01,Robert Bruce Banner
30,Hulk,,Living,Male,Good,Human / radiation,244.0,630.0,Green,Green,Green,Marvel Comics,1979.0,1.0,1979-08-01,Arcade Robot
31,Hulk,Secret,Living,Male,Good,Human / radiation,244.0,630.0,Green,Green,Green,Marvel Comics,1998.0,1.0,1998-10-01,Taskmaster Robot
32,Hulk,Public,Living,Male,Good,Human / radiation,244.0,630.0,Green,Green,Green,Marvel Comics,1990.0,,1990-03-01,Wrestler
33,Scott Summers,Public,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1963.0,1955.0,1963-09-01,
34,Scott Summers,,Living,Male,Bad,,,,,,,Marvel,1992.0,3.0,1992-06-01,Doppelganger
35,Jonathan Storm,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1961.0,1934.0,1961-11-01,
36,Jonathan Storm,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1996.0,13.0,1996-11-01,Heroes Reborn
37,Jonathan Storm,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,1962.0,8.0,1962-01-01,"Skrull, Cow"
38,Jonathan Storm,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1973.0,1.0,1973-06-01,Counter-Earth
39,Jonathan Storm,,Living,Male,Bad,,,,,,,Marvel,1992.0,1.0,1992-06-01,Doppelganger
40,Henry McCoy,Public,Living,Male,Good,,,,Blue,Blue,,Marvel,1963.0,1825.0,1963-09-01,
41,Henry McCoy,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008.0,8.0,2008-06-01,Skrull
42,Henry McCoy,Secret,Deceased,Male,Bad,,,,Blue,Blue,,Marvel,1993.0,2.0,1993-12-01,X-Beast
43,Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1961.0,1713.0,1961-11-01,
44,Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1996.0,13.0,1996-11-01,Heroes Reborn
45,Susan Storm,Secret,Deceased,Male,Bad,,,,Green,Blond,,Marvel,2008.0,5.0,2008-06-01,"Retro, Skrull"
46,Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,2007.0,4.0,2007-02-01,Onslaught Reborn
47,Susan Storm,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1973.0,1.0,1973-06-01,Counter-Earth
48,Namor McKenzie,No Dual,Living,Male,Neutral,,,,Green,Black,,Marvel,,1528.0,,
49,Namor McKenzie,Public,Living,Male,Neutral,,,,,Black,,Marvel,1996.0,3.0,1996-12-01,Heroes Reborn
50,Namor McKenzie,Public,Living,Male,Good,,,,Green,Black,,Marvel,2007.0,3.0,2007-03-01,Onslaught Reborn
51,Namor McKenzie,Secret,Living,Male,Neutral,,,,Blue,Black,,Marvel,2003.0,1.0,2003-12-01,N2
52,Ororo Munroe,Public,Living,Female,Good,,,,Blue,White,,Marvel,1975.0,1512.0,1975-05-01,
53,Ororo Munroe,Secret,Deceased,Female,Bad,,,,Blue,Black,,Marvel,,2.0,,Revenant
54,Ororo Munroe,,Living,Female,Bad,,,,,,,Marvel,1992.0,1.0,1992-09-01,Doppelganger
55,Clinton Barton,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1964.0,1394.0,1964-09-01,
56,Clinton Barton,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008.0,6.0,2008-06-01,Skrull
57,Matthew Murdock,Public,Living,Male,Good,,,,Blue,Red,,Marvel,1964.0,1338.0,1964-04-01,
58,Matthew Murdock,,Deceased,Male,Bad,,,,Black,,,Marvel,1992.0,10.0,1992-06-01,Hellspawn
59,Matthew Murdock,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008.0,1.0,2008-05-01,Skrull
60,Stephen Strange,Public,Living,Male,Good,,,,Grey,Black,,Marvel,1963.0,1307.0,1963-07-01,
61,Stephen Strange,,Living,Male,Bad,,,,Grey,Black,,Marvel,1992.0,4.0,1992-10-01,Counter-Earth
62,Mary Jane Watson,No Dual,Living,Female,Good,,,,Green,Red,,Marvel,1965.0,1304.0,1965-06-01,
63,John Jonah Jameson,No Dual,Living,Male,Neutral,,,,Blue,Black,,Marvel,1963.0,1266.0,1963-03-01,
64,Robert Drake,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1963.0,1265.0,1963-09-01,
65,Henry Pym,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1962.0,1237.0,1962-01-01,
66,Henry Pym,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008.0,3.0,2008-08-01,Giant-Man Skrull
67,Henry Pym,Secret,Living,Male,Good,,,,,,,Marvel,2007.0,2.0,2007-03-01,Onslaught Reborn
68,Charles Xavier,Public,Deceased,Male,Good,,,,Blue,Bald,,Marvel,1963.0,1233.0,1963-09-01,
69,Charles Xavier,Secret,Living,Male,Bad,,,,,Bald,,Marvel,2013.0,17.0,2013-01-01,Legion Personality
70,Charles Xavier,,Living,Male,Bad,,,,,,,Marvel,1977.0,5.0,1977-08-01,Entity
71,Charles Xavier,,Living,Male,Bad,,,,,,,Marvel,1990.0,5.0,1990-10-01,War Skrull
72,Charles Xavier,Secret,Living,Male,Bad,,,,,Bald,,Marvel,1976.0,,1976-06-01,X-Sentinel
73,Charles Xavier,,Living,Male,Bad,,,,,,,Marvel,1990.0,,1990-06-01,Masque's Doppelganger
74,Charles Xavier,,Living,Male,,,,,,,,Marvel,1992.0,,1992-06-01,Infinity War Doppelganger
75,Warren Worthington III,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1963.0,1230.0,1963-09-01,
76,Warren Worthington III,Secret,Living,Female,Bad,,,,,Blond,,Marvel,1990.0,,1990-06-01,Masque's Doppelganger
77,Piotr Rasputin,Secret,Living,Male,Good,,,,Blue,Black,,Marvel,1975.0,1162.0,1975-05-01,
78,Piotr Rasputin,,Living,Male,Bad,,,,,Black,,Marvel,1992.0,3.0,1992-06-01,Doppelganger
79,Wanda Maximoff,Public,Living,Female,Good,,,,Green,Brown,,Marvel,1964.0,1161.0,1964-03-01,
80,Wanda Maximoff,Secret,Living,Female,Bad,,,,Green,Bald,,Marvel,2008.0,3.0,2008-06-01,Skrull
81,Wanda Maximoff,Secret,Deceased,Female,Bad,,,,Blue,Auburn,,Marvel,2012.0,3.0,2012-01-01,Clone
82,Wanda Maximoff,Public,Living,Female,Neutral,,,,,Brown,,Marvel,1996.0,1.0,1996-11-01,Heroes Reborn
83,Nicholas Fury,No Dual,Living,Male,Neutral,,,,Brown,Brown,,Marvel,1963.0,1137.0,1963-05-01,
84,Nicholas Fury,Secret,Deceased,Male,Bad,,,,Brown,Brown,,Marvel,1977.0,24.0,1977-04-01,LMD
85,Nicholas Fury,Secret,Living,Male,Bad,,,,Blue,Brown,,Marvel,1996.0,22.0,1996-11-01,"LMD, Heroes Reborn"
86,Nicholas Fury,,Living,Male,Good,,,,One Eye,,,Marvel,1996.0,6.0,1996-09-01,Heroes Reborn
87,Janet van Dyne,Public,Living,Female,Good,,,,Blue,Auburn,,Marvel,1963.0,1120.0,1963-06-01,
88,Jean Grey,Public,Deceased,Female,Good,Mutant,168.0,52.0,Green,Red,,Marvel Comics,1963.0,1107.0,1963-09-01,
89,Jean Grey,Secret,Deceased,Female,Good,Mutant,168.0,52.0,Green,Red,,Marvel Comics,2008.0,6.0,2008-06-01,Skrull
90,Jean Grey,Secret,Deceased,Female,Good,Mutant,168.0,52.0,Green,Red,,Marvel Comics,1979.0,1.0,1979-09-01,Lady Grey
91,Jean Grey,Secret,Living,Female,Good,Mutant,168.0,52.0,Green,Red,,Marvel Comics,1992.0,1.0,1992-09-01,Doppelganger
92,Natalia Romanova,Public,Living,Female,Good,,,,Green,Red,,Marvel,1964.0,1050.0,1964-04-01,
93,Natalia Romanova,,Deceased,Female,Bad,,,,Green,Auburn,,Marvel,2010.0,2.0,2010-11-01,Dr Bong Clone
94,Kurt Wagner,Secret,Living,Male,Good,,,,Yellow,Blue,,Marvel,1975.0,1047.0,1975-05-01,
95,Vision,Secret,Living,Male,Good,Android,191.0,135.0,Gold,No hair,Red,Marvel Comics,1968.0,1007.0,1968-10-01,
96,Vision,Public,Deceased,Male,Good,Android,191.0,135.0,Gold,No hair,Red,Marvel Comics,2005.0,119.0,2005-08-01,Jonas
97,Vision,Secret,Deceased,Male,Good,Android,191.0,135.0,Gold,No hair,Red,Marvel Comics,2008.0,6.0,2008-06-01,Skrull
98,Vision,Secret,Living,Male,Good,Android,191.0,135.0,Gold,No hair,Red,Marvel Comics,1992.0,3.0,1992-06-01,Doppelganger
99,Vision,Secret,Living,Male,Good,Android,191.0,135.0,Gold,No hair,Red,Marvel Comics,1998.0,1.0,1998-10-01,Taskmaster Robot
100,Vision,Public,Living,Male,Good,Android,191.0,135.0,Gold,No hair,Red,Marvel Comics,2007.0,1.0,2007-09-01,Onslaught Reborn
101,May Reilly,No Dual,Living,Female,Good,,,,Blue,Grey,,Marvel,1962.0,1000.0,1962-08-01,
102,May Reilly,Public,Deceased,Female,Bad,,,,Blue,Grey,,Marvel,1994.0,,1994-08-01,Impostor
103,Katherine Pryde,Secret,Living,Female,Good,,,,Hazel,Brown,,Marvel,1980.0,886.0,1980-01-01,
104,Carol Danvers,Public,Living,Female,Good,,,,Blue,Blond,,Marvel,1968.0,881.0,1968-03-01,
105,Carol Danvers,Secret,Deceased,Female,Bad,,,,Green,Blond,,Marvel,2008.0,5.0,2008-06-01,"Retro, Skrull"
106,Carol Danvers,Secret,Deceased,Female,Bad,,,,Green,Blond,,Marvel,2008.0,3.0,2008-05-01,"Modern, Skrull"
107,Jennifer Walters,Public,Living,Female,Good,,,,Green,Brown,,Marvel,1980.0,881.0,1980-02-01,
108,Jennifer Walters,Public,Living,Female,Good,,,,Green,Brown,,Marvel,1996.0,5.0,1996-11-01,Heroes Reborn
109,Jennifer Walters,Secret,Living,Female,Bad,,,,,Green,,Marvel,1998.0,1.0,1998-05-01,Amazon
110,Emma Frost,Public,Living,Female,Good,,178.0,65.0,Blue,Blond,,Marvel Comics,1980.0,880.0,1980-01-01,
111,Emma Frost,Secret,Deceased,Female,Good,,178.0,65.0,Blue,Blond,,Marvel Comics,2008.0,6.0,2008-06-01,Skrull
112,Frank Castle,Public,Living,Male,Neutral,,,,Blue,Black,,Marvel,1974.0,878.0,1974-02-01,
113,Luke Cage,No Dual,Living,Male,Good,Human,198.0,191.0,Brown,Black,,Marvel Comics,1972.0,856.0,1972-06-01,
114,Luke Cage,Secret,Deceased,Male,Good,Human,198.0,191.0,Brown,Black,,Marvel Comics,2008.0,6.0,2008-06-01,Skrull
115,Rogue,Secret,Living,Female,Good,,173.0,54.0,Green,Brown / white,,Marvel Comics,,850.0,,Anna Marie
116,Conan,No Dual,Living,Male,Neutral,,,,Blue,Black,,Marvel,1970.0,787.0,1970-10-01,
117,Joseph Robertson,No Dual,Living,Male,Good,,,,Brown,White,,Marvel,1967.0,752.0,1967-08-01,
118,Pietro Maximoff,Public,Living,Male,Good,,,,Blue,Silver,,Marvel,1964.0,740.0,1964-03-01,
119,Pietro Maximoff,Secret,Deceased,Male,Bad,,,,Blue,Silver,,Marvel,2012.0,3.0,2012-01-01,Clone
120,Hercules,No Dual,Living,Male,Good,Demi-god,196.0,146.0,Blue,Brown,,Marvel Comics,1965.0,725.0,1965-10-01,
121,Hercules,Known to Authorities,Living,Male,Good,Demi-god,196.0,146.0,Blue,Brown,,Marvel Comics,2007.0,2.0,2007-02-01,CSA
122,Hercules,Secret,Living,Male,Good,Demi-god,196.0,146.0,Blue,Brown,,Marvel Comics,1943.0,1.0,1943-03-01,Empowered Marvel Boy
123,Hercules,Secret,Living,Male,Good,Demi-god,196.0,146.0,Blue,Brown,,Marvel Comics,1944.0,1.0,1944-05-01,Captain America Past Life
124,Hercules,,Living,Male,Good,Demi-god,196.0,146.0,Blue,Brown,,Marvel Comics,1998.0,1.0,1998-05-01,Demi-God
125,Hercules,,Living,Male,Good,Demi-god,196.0,146.0,Blue,Brown,,Marvel Comics,1991.0,11.0,1991-09-01,
126,Victor von Doom,Public,Living,Male,Bad,,,,Brown,Brown,,Marvel,1962.0,721.0,1962-07-01,
127,Victor von Doom,Public,Living,Male,Bad,,,,,,,Marvel,1996.0,9.0,1996-11-01,Heroes Reborn
128,Victor von Doom,Public,Living,Male,Good,,,,,,,Marvel,1973.0,8.0,1973-02-01,Counter-Earth
129,Victor von Doom,,Living,Male,,,,,,,,Marvel,1978.0,8.0,1978-04-01,Clone
130,Victor von Doom,Secret,Living,Male,Bad,,,,Red,,,Marvel,1992.0,2.0,1992-09-01,Impostor
131,Max Eisenhardt,Public,Living,Male,Neutral,,,,Grey,Bald,,Marvel,1963.0,709.0,1963-09-01,
132,Max Eisenhardt,Secret,Living,Male,Bad,,,,Blue,White,,Marvel,1995.0,52.0,1995-12-01,Joseph
133,Max Eisenhardt,Secret,Deceased,Male,Bad,,,,,,,Marvel,1968.0,7.0,1968-11-01,Machinesmith Robot
134,Max Eisenhardt,,Living,,Bad,,,,,,,Marvel,1979.0,,1979-08-01,Arcade Robot
135,Elizabeth Braddock,Secret,Living,Female,Neutral,,,,Blue,Purple,,Marvel,1976.0,708.0,1976-12-01,
136,Elizabeth Braddock,Secret,Deceased,Female,Bad,,,,Violet,Purple,,Marvel,,4.0,,Revenant
137,Elizabeth Braddock,Secret,Deceased,,Bad,,,,,,,Marvel,1991.0,2.0,1991-05-01,War Skrull
138,Norrin Radd,Public,Living,Male,Good,,,,Blue,Bald,,Marvel,1966.0,696.0,1966-03-01,
139,Norrin Radd,,Deceased,Male,Good,,,,Silver,Bald,,Marvel,1996.0,8.0,1996-11-01,Heroes Reborn
140,Norman Osborn,Public,Living,Male,Bad,,,,Blue,Auburn,,Marvel,1964.0,692.0,1964-07-01,
141,Eugene Thompson,Secret,Living,Male,Good,,,,Blue,Strawberry Blond,,Marvel,1962.0,689.0,1962-08-01,
142,Simon Williams,Public,Living,Male,Good,,,,Red,Grey,,Marvel,1964.0,686.0,1964-10-01,
143,Simon Williams,Secret,Living,Male,Bad,,,,Green,Bald,,Marvel,2008.0,6.0,2008-06-01,Skrull
144,Simon Williams,Secret,Living,Male,Bad,,,,,,,Marvel,1997.0,3.0,1997-05-01,Heroes Reborn
145,Simon Williams,,Living,Male,,,,,,,,Marvel,1992.0,,1992-09-01,Doppelganger
146,Samuel Guthrie,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1982.0,657.0,1982-11-01,
147,James Buchanan Barnes,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1941.0,641.0,1941-03-01,
148,Remy LeBeau,Secret,Living,Male,Good,,,,Black Eyeballs,Brown,,Marvel,1990.0,636.0,1990-07-01,
149,Daniel Rand,Secret,Living,Male,Good,,,,Blue,Blond,,Marvel,1974.0,618.0,1974-05-01,
150,Daniel Rand,,Living,Male,Bad,,,,,,,Marvel,1998.0,1.0,1998-05-01,Dragonfist
151,Daniel Rand,Secret,Deceased,Male,Good,,,,Blue,,,Marvel,1985.0,,1985-09-01,H'ylthri
152,Nathan Summers,Public,Living,Male,Neutral,,,,Blue,White,,Marvel,1986.0,612.0,1986-01-01,
153,Elizabeth Brant,No Dual,Living,Female,Good,,,,Brown,Brown,,Marvel,1963.0,599.0,1963-09-01,
154,Richard Jones,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1962.0,590.0,1962-05-01,
155,Richard Jones,Secret,Living,Male,Good,,,,Blue,Red,,Marvel,1940.0,19.0,1940-04-01,Phantom Reporter
156,Richard Jones,Public,Living,Male,Neutral,,,,Brown,Brown,,Marvel,2002.0,1.0,2002-05-01,Impersonator
157,Edwin Jarvis,No Dual,Living,Male,Good,,,,Blue,White,,Marvel,1964.0,567.0,1964-11-01,
158,Edwin Jarvis,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2005.0,35.0,2005-03-01,Skrull
159,Alexander Summers,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1969.0,558.0,1969-03-01,
160,Patricia Walker,Secret,Living,Female,Good,,,,Blue,Red,,Marvel,1944.0,550.0,1944-11-01,
161,Patricia Walker,Public,Deceased,Female,Good,,,,,,,Marvel,1996.0,12.0,1996-11-01,Heroes Reborn
162,Human Torch,Public,Living,Male,Good,Human / radiation,178.0,77.0,Blue,Blond,,Marvel Comics,1939.0,548.0,1939-10-01,Android
163,Loki Laufeyson,No Dual,Living,Genderfluid,Neutral,,,,Green,Black,,Marvel,1949.0,532.0,1949-08-01,
164,Loki Laufeyson,Secret,Deceased,Male,Good,,,,Green,Black,,Marvel,2011.0,13.0,2011-01-01,Kid Loki
165,Loki Laufeyson,,Deceased,Male,Bad,,,,,,,Marvel,1996.0,12.0,1996-11-01,Heroes Reborn
166,Loki Laufeyson,Secret,Living,Male,Bad,,,,,Black,,Marvel,1996.0,3.0,1996-05-01,LMD
167,Franklin Nelson,No Dual,Living,Male,Good,,,,Blue,Bald,,Marvel,1964.0,528.0,1964-04-01,
168,Brian Braddock,Public,Living,Male,Good,,,,Blue,Blond,,Marvel,1976.0,528.0,1976-10-01,
169,Otto Octavius,Secret,Deceased,Male,Neutral,,,,Hazel,Brown,,Marvel,1963.0,526.0,1963-07-01,
170,James Rhodes,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1979.0,525.0,1979-01-01,
171,Timothy Dugan,Public,Deceased,Male,Good,,,,Blue,Red,,Marvel,1963.0,517.0,1963-05-01,
172,Timothy Dugan,Secret,Deceased,Male,Bad,,,,Green,Bald,,Marvel,2008.0,28.0,2008-07-01,Skrull
173,Timothy Dugan,,Living,Male,Good,,,,,,,Marvel,1996.0,6.0,1996-11-01,Heroes Reborn
174,Crystalia Amaquelin,Public,Living,Female,Good,,,,Green,Strawberry Blond,,Marvel,1965.0,512.0,1965-12-01,
175,Samuel Wilson,Public,Living,Male,Good,,,,Brown,Black,,Marvel,1969.0,512.0,1969-09-01,
176,Samuel Wilson,Public,Living,Male,Good,,,,,Grey,,DC,1970.0,4.0,1970-11-01,
177,Wilson Fisk,Public,Living,Male,Bad,,,,Blue,Bald,,Marvel,1967.0,503.0,1967-07-01,
178,Odin Borson,Public,Living,Male,Neutral,,,,Blue,White,,Marvel,1962.0,502.0,1962-10-01,
179,Deadpool,Secret,Living,Male,Neutral,Mutant,188.0,95.0,Brown,No hair,,Marvel Comics,1991.0,500.0,1991-02-01,Wade Wilson
180,Dane Whitman,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1967.0,478.0,1967-12-01,
181,Dane Whitman,,Deceased,Male,Bad,,,,,,,Marvel,1998.0,1.0,1998-05-01,Knight Errant
182,Harold Osborn,No Dual,Living,Male,Good,,,,Blue,Brown,,Marvel,1965.0,474.0,1965-12-01,
183,Franklin Richards,No Dual,Living,Male,Good,Mutant,142.0,45.0,Blue,Blond,,Marvel Comics,1968.0,473.0,1968-11-01,
184,Jessica Drew,Secret,Living,Female,Good,,,,Green,Auburn,,Marvel,1977.0,471.0,1977-02-01,
185,Roberto da Costa,Secret,Living,Male,Good,,,,Brown,Black,,Marvel,1982.0,464.0,1982-11-01,
186,Roberto da Costa,Secret,Deceased,Male,Bad,,,,,Bald,,Marvel,1993.0,16.0,1993-09-01,Reignfire
187,Rahne Sinclair,Secret,Living,Female,Good,,,,Green,Red,,Marvel,1982.0,448.0,1982-11-01,
188,Elizabeth Ross,Public,Living,Female,Good,,,,Blue,Black,,Marvel,1962.0,446.0,1962-05-01,
189,Elizabeth Ross,Public,Living,Female,Good,,,,,,,Marvel,1996.0,6.0,1996-11-01,Heroes Reborn
190,Elizabeth Ross,No Dual,Living,Female,,,,,Blue,Brown,,Marvel,1972.0,1.0,1972-12-01,Counter-Earth
191,Lorna Dane,Secret,Living,Female,Good,,,,Green,Green,,Marvel,1968.0,433.0,1968-10-01,
192,Blaine Colt,Public,Deceased,Male,,,,,Blue,Blond,,Marvel,,429.0,,
193,Johnathon Blaze,Secret,Living,Male,Good,,,,Blue,Reddish Blond,,Marvel,1972.0,426.0,1972-08-01,
194,Sif,No Dual,Living,Female,Good,Asgardian,188.0,191.0,Blue,Black,,Marvel Comics,1964.0,422.0,1964-03-01,
195,Sif,,Living,Female,Good,Asgardian,188.0,191.0,Blue,Black,,Marvel Comics,1967.0,1.0,1967-10-01,
196,Red Hulk,Public,Living,Male,Neutral,Human / radiation,213.0,630.0,Yellow,Black,Red,Marvel Comics,1962.0,415.0,1962-05-01,Thaddeus Ross
197,Jubilation Lee,Secret,Living,Female,Good,,,,Brown,Black,,Marvel,1989.0,408.0,1989-05-01,
198,Jubilation Lee,,Deceased,,Bad,,,,,,,Marvel,1991.0,1.0,1991-06-01,War Skrull
199,Volstagg,Public,Living,Male,Good,,,,Blue,Red,,Marvel,1965.0,406.0,1965-08-01,
200,Balder Odinson,Secret,Deceased,Male,Good,,,,Blue,Brown,,Marvel,1962.0,403.0,1962-10-01,
201,Galactus,Secret,Living,Male,Neutral,Cosmic entity,876.0,16.0,Black,Black,,Marvel Comics,1966.0,390.0,1966-03-01,
202,Galactus,,Deceased,Male,Neutral,Cosmic entity,876.0,16.0,Black,Black,,Marvel Comics,1997.0,10.0,1997-04-01,Heroes Reborn
203,Galactus,Secret,Living,Male,Neutral,Cosmic entity,876.0,16.0,Black,Black,,Marvel Comics,2008.0,2.0,2008-12-01,Skrull
204,Danielle Moonstar,Secret,Living,Female,Good,,,,Brown,Black,,Marvel,1982.0,388.0,1982-11-01,
205,Marc Spector,Secret,Living,Male,Good,,,,Brown,Brown,,Marvel,1975.0,387.0,1975-08-01,
206,Marc Spector,Secret,Deceased,Male,Bad,,,,Brown,Brown,,Marvel,2010.0,2.0,2010-11-01,Clone
207,Gwendolyne Stacy,No Dual,Deceased,Female,Good,,,,Blue,Blond,,Marvel,1965.0,384.0,1965-12-01,
208,Gwendolyne Stacy,Secret,Deceased,Female,Neutral,,,,Blue,Blond,,Marvel,1975.0,42.0,1975-03-01,Clone
209,Gwendolyne Stacy,Public,Deceased,Female,Neutral,,,,,Blond,,Marvel,2011.0,1.0,2011-10-01,Abby-L
210,Medusalith Amaquelin,Public,Living,Female,Good,,,,Green,Red,,Marvel,1965.0,382.0,1965-03-01,
211,Medusalith Amaquelin,,Living,Female,Good,,,,,,,Marvel,1997.0,5.0,1997-06-01,Heroes Reborn
212,Sabretooth,Secret,Living,Male,Bad,Mutant,198.0,171.0,Amber,Blond,,Marvel Comics,1977.0,382.0,1977-08-01,Victor Creed
213,Illyana Rasputina,Secret,Living,Female,Neutral,,,,Blue,Blond,,Marvel,1975.0,380.0,1975-05-01,
214,Johann Shmidt,Public,Deceased,Male,Bad,,,,Blue,Blond,,Marvel,1941.0,376.0,1941-08-01,
215,Johann Shmidt,Public,Living,Male,Bad,,,,Blue,Brown,,Marvel,2012.0,13.0,2012-12-01,Clone
216,Johann Shmidt,,Living,Male,Bad,,,,,,,Marvel,1996.0,8.0,1996-09-01,Heroes Reborn
217,Fandral,Secret,Deceased,Male,Good,,,,Blue,Blond,,Marvel,1965.0,375.0,1965-08-01,
218,Sean Cassidy,Secret,Living,Male,Neutral,,,,Green,Strawberry Blond,,Marvel,1967.0,374.0,1967-01-01,
219,Thomas Raymond,Secret,Living,Male,Good,,,,Blue,Black,,Marvel,1940.0,373.0,1940-09-01,
220,Uatu,Public,Deceased,Male,Good,,,,Blue,Bald,,Marvel,1963.0,373.0,1963-04-01,
